project_name,id,type,fromDate,toDate, amount,cumulative
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)",10,تعدیل,1400/03/01,1400/03/31,14780883974,86150603640
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)",11,تعدیل,1400/04/01,1400/05/31,21181163141,107331766781
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)",12,تعدیل,1404/01/01,1400/05/31,46326565227,153658332008
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)",13,تعدیل,1400/06/01,1400/06/31,31254954087,184913286095
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)",14,تعدیل,1404/07/01,1404/09/30,64696108132,249609394227
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)",15,تعدیل,1400/10/01,1400/10/30,23757909520,273367303747
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)",16,تعدیل,1400/11/01,1400/11/30,28255005038,301622308785
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)",17,تعدیل,1400/12/01,1400/12/29,1445854732,303068163517
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)",18,تعدیل,1401/01/01,1401/01/31,5294388789,308362552306
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)",19,تعدیل,1401/02/01,1401/02/31,13669718272,322032270578
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)",20,تعدیل,1401/03/01,1401/03/31,16794632911,338826903489
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)",21,تعدیل,1401/04/01,1401/04/31,15052543716,353879447205
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)",22,تعدیل,1401/05/01,1401/05/31,22171305899,376050753104
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)",23,تعدیل,1401/06/01,1401/06/31,12821816807,388872569911
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)",24,تعدیل,1401/01/01,1401/06/31,38304091850,427176661761
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)",25,تعدیل,1401/07/01,1401/07/30,29102372376,456279034137
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)",26,تعدیل,1401/08/01,1401/09/30,5626824351,461905858488
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)",27,تعدیل,1401/10/01,1401/10/30,11578530751,473484389239
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)",28,تعدیل,1401/10/01,1401/12/29,28585349936,502069739175
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)",29,تعدیل,1401/07/01,1401/12/29,11663924312,513733663487
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)",30,تعدیل,1402/01/01,1402/02/31,61766348539,575500012026
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)",31,تعدیل,1402/03/01,1402/03/31,8944831806,584444843832
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)",32,تعدیل,1402/10/01,1402/12/29,63728270211,648173114043
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)",33,تعدیل,1402/01/01,1402/06/31,33044636617,681217750660
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)",34,تعدیل,1402/07/01,1402/09/30,85507851636,766725602296
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)",35,تعدیل,1402/07/01,1402/09/30,1245803691,767971405987
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)",36,تعدیل,1402/10/01,1402/12/29,88037846601,856009252588
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)",37,تعدیل,1403/01/01,1403/03/31,31108144472,887117397060
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)",38,تعدیل,1403/01/01,1403/06/31,114474265937,1001591662997
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)",39,تعدیل,1403/07/01,1403/12/30,64599116493,1066190779490
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)",40,تعدیل,1403/07/01,1404/03/31,11280144905,1077470924395
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)",41,تعدیل,1404/04/01,1404/05/31,16380159055,1093851083450
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)",42,تعدیل,1404/01/01,1404/05/31,5066530104,1098917613554
احداث رستوران بزرگ پتروشیمی بندر امام,1,تعدیل,1402/06/12,1403/01/31,101532993451,101532993451
احداث رستوران بزرگ پتروشیمی بندر امام,2,تعدیل,1403/02/01,1403/02/31,5605939510,107138932961
احداث رستوران بزرگ پتروشیمی بندر امام,3,تعدیل,1403/03/01,1403/03/31,5742059890,112880992851
احداث رستوران بزرگ پتروشیمی بندر امام,4,تعدیل,1403/04/01,1403/04/31,19160244765,132041237616
احداث رستوران بزرگ پتروشیمی بندر امام,5,تعدیل,1403/05/01,1403/05/31,7867679661,139908917277
احداث رستوران بزرگ پتروشیمی بندر امام,6,تعدیل,1403/06/01,1403/06/31,9367398393,149276315670
احداث رستوران بزرگ پتروشیمی بندر امام,7,تعدیل,1403/07/01,1403/07/30,16412592791,165688908461
احداث رستوران بزرگ پتروشیمی بندر امام,8,تعدیل,1403/08/01,1403/08/30,12866709400,178555617861
احداث رستوران بزرگ پتروشیمی بندر امام,9,تعدیل,1403/09/01,1403/09/30,129058394787,307614012648
احداث رستوران بزرگ پتروشیمی بندر امام,10,تعدیل,1403/10/01,1403/10/30,44172256033,351786268681
احداث رستوران بزرگ پتروشیمی بندر امام,11,تعدیل,1403/11/01,1403/11/30,12698196239,364484464920
احداث رستوران بزرگ پتروشیمی بندر امام,12,تعدیل,1403/12/01,1403/12/30,55789339392,420273804312
احداث رستوران بزرگ پتروشیمی بندر امام,13,تعدیل,1404/01/01,1404/01/31,38940062685,459213866997
احداث رستوران بزرگ پتروشیمی بندر امام,14,تعدیل,1404/02/01,1404/03/31,98000034402,557213901399
